feature,importance
yield_percent_min_5,0.0895340767683296
vibration_min_5,0.08590336943915845
vibration_std_5,0.06573209834481601
yield_percent_change_1,0.050337324285671205
flow_rate_min_5,0.03854750621166749
filter_differential_pressure_mean_5,0.03732358757842638
flow_rate_slope_5,0.03465946614539398
filter_differential_pressure_min_5,0.03238799160529059
motor_current_slope_5,0.030845434313093563
motor_current_std_5,0.030843819778417422
flow_rate_std_5,0.028649332769081742
yield_percent_max_5,0.027201655542822414
filter_differential_pressure_std_5,0.02619428525292628
filter_differential_pressure_change_1,0.025269218955204495
yield_percent_mean_5,0.025047559849454032
vibration_max_5,0.024442653251255674
flow_rate_mean_5,0.023705750167595734
yield_percent_std_5,0.02334902255764479
vibration_slope_5,0.023274777898463783
particle_count_slope_5,0.02327174023893828
filter_differential_pressure_slope_5,0.02310242531749295
particle_count_mean_5,0.021118479010794902
vibration_mean_5,0.01939604825591085
motor_current_max_5,0.01657492579445225
particle_count_change_1,0.01654170194261154
flow_rate_change_1,0.016269040569433995
flow_rate_max_5,0.01622142878723496
motor_current_change_1,0.015943078190273702
vibration_change_1,0.015872417795353658
particle_count_max_5,0.015781064186294373
motor_current_min_5,0.014695236053828654
particle_count_std_5,0.01457277737478021
yield_percent_slope_5,0.014157314597550413
filter_differential_pressure_max_5,0.012865128080150381
motor_current_mean_5,0.012196649407888073
particle_count_min_5,0.008171613682297248
